Year,ISIN
2016,US8725401090
2016,US8760301072
2016,US87612E1064
2016,US8807701029
2016,US8825081040
2016,US8832031012
2016,US88337F1057
2016,US8835561023
2016,US88579Y1010
2016,US89417E1091
2016,US89832Q1094
2016,US9024941034
2016,US9029733048
2016,US9078181081
2016,US9111631035
2016,US9113121068
2016,US9113631090
2016,US9129091081
2016,US91324P1021
2016,US91529Y1064
2016,US92276F1003
2016,US92343V1044
2016,US9255501051
2016,US92556V1061
2016,US9290421091
2016,US9291601097
2016,US92939U1060
2016,US9311421039
2016,US9314271084
2016,US94106L1098
2016,US9418481035
2016,US9427491025
2016,US9497461015
2016,US95040Q1040
2016,US95082P1057
2016,US9581021055
2016,US9604131022
2016,US9621661043
2016,US9633201069
2016,US9694571004
2016,US98389B1008
2016,US9839191015
2016,US98421M1062
2016,US9884981013
2016,US98956P1021
2017,AN8068571086
2017,CA00208D4084
2017,CA0084741085
2017,CA00900Q1037
2017,CA01626P1484
2017,CA05534B7604
2017,CA0636711016
2017,CA0641491075
2017,CA0977518616
2017,CA1247651088
2017,CA12532H1047
2017,CA13321L1085
2017,CA1360691010
2017,CA1363751027
2017,CA1363851017
2017,CA13646K1084
2017,CA1366812024
2017,CA2849025093
2017,CA29250N1050
2017,CA2927661025
2017,CA3180714048
2017,CA3359341052
2017,CA3495531079
2017,CA3518581051
2017,CA3759161035
2017,CA39138C1068
2017,CA4495861060
2017,CA4530384086
2017,CA45823T1066
2017,CA4969024047
2017,CA5394811015
2017,CA5592224011
2017,CA56501R1064
2017,CA59151K1084
2017,CA6744822033
2017,CA7392391016
2017,CA7751092007
2017,CA7800871021
